Deuterium exports,Deuterium inventory,Fixed plant power,Fusion Fleet Gross Electric,Imports,Fusion Fleet Net Electric,Fusion Fleet Thermal Power,Fusion Fleet Magnet & station power,Salt Heating,Tritium exports,Fusion Fleet Tritium Inventory,Var plant power,,Fusion Fleet Fusion Power
-31167.23672,0,654.4367108,12440.59256,7.32E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-1.09E-11,232896.9137,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.32E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-1.59E-11,236009.6952,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.31E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.55E-11,239122.4767,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.28E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.55E-11,242235.2581,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.15E-16,8534.093631,31163.6529,3906.498933,1.62E-11,-2.09E-11,245348.0396,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.29E-16,8534.093631,31163.6529,3906.498933,1.63E-11,1.83E-12,248460.8211,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.29E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-5.45E-12,251573.6026,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.28E-16,8534.093631,31163.6529,3906.498933,1.63E-11,-1.55E-11,254686.384,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.25E-16,8534.093631,31163.6529,3906.498933,1.65E-11,-6.36E-12,257799.1655,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.10E-16,8534.093631,31163.6529,3906.498933,1.68E-11,-1.36E-11,260911.947,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.08E-16,8534.093631,31163.6529,3906.498933,1.92E-11,9.21E-13,264024.7284,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.19E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-3.14E-11,267137.5099,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,8.06E-16,8534.093631,31163.6529,3906.498933,1.92E-11,-1.64E-11,270250.2914,2596.971075,,23972.04069
-31167.23672,0,654.4367108,12440.59256,7.18E-16,8534.093631,31163.6529,3906.498933,1.93E-11,-2.91E-11,273363.0728,2596.971075,,23972.04069
