Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
177,0.262,1,0.279945504,0.220307418,1,0.192353871,1,1,0.552743642,1,1,0.192353871,0.1639680809142857,0.14897100034285712
178,0.262,1,0.457038,0.235324986,1,0.195717411,1,1,0.552743642,1,1,0.195717411,0.2676936857142857,0.24320950714285708
179,0.262,1,0.59481928,0.154785115,1,0.194501867,1,1,0.552743642,1,1,0.194501867,0.3483941497142856,0.31652883114285707
180,0.262,1,0.803013699,0.142454096,1,0.219094624,1,1,0.552743642,1,1,0.219094624,0.47033659512857134,0.4273180041107142
181,0.262,1,0.721461824,0.1480599,1,0.184049324,1,1,0.552743642,1,1,0.184049324,0.42257049691428566,0.38392075634285705
182,0.262,1,0.454834168,0.11210724,1,0.282513881,1,1,0.552743642,1,1,0.282513881,0.26640286982857136,0.24203675368571423
183,0.262,1,0.158978943,0.178352121,1,0.258177917,1,1,0.552743642,1,1,0.258177917,0.09311623804285714,0.08459950895357142
184,0.262,1,0.084435716,0.216605073,1,0.332427467,1,1,0.552743642,1,1,0.332427467,0.04945520508571428,0.04493186315714284
185,0.262,1,0.0,0.250943203,1,0.34821036,1,1,0.552743642,1,1,0.34821036,0.0,0.0
186,0.262,1,0.0,0.356092201,1,0.505881245,1,1,0.552743642,1,1,0.505881245,0.0,0.0
187,0.262,1,0.0,0.378608143,1,0.691273369,1,1,0.552743642,1,1,0.691273369,0.0,0.0
188,0.262,1,0.0,0.407718792,1,0.756433614,1,1,0.552743642,1,1,0.756433614,0.0,0.0
189,0.262,1,0.0,0.428407818,1,0.767006192,1,1,0.552743642,1,1,0.767006192,0.0,0.0
190,0.262,1,0.0,0.423283889,1,0.665251582,1,1,0.552743642,1,1,0.665251582,0.0,0.0
191,0.262,1,0.0,0.417825641,1,0.710719085,1,1,0.552743642,1,1,0.710719085,0.0,0.0
192,0.262,1,0.0,0.510103816,1,0.715296488,1,1,0.552743642,1,1,0.715296488,0.0,0.0
193,0.262,1,0.0,0.39761532,1,0.601948697,1,1,0.552743642,1,1,0.601948697,0.0,0.0
194,0.262,1,0.0,0.342370596,1,0.588787922,1,1,0.552743642,1,1,0.588787922,0.0,0.0
195,0.262,1,0.0,0.360066947,1,0.524520759,1,1,0.552743642,1,1,0.524520759,0.0,0.0
196,0.262,1,0.0,0.382988936,1,0.553357118,1,1,0.552743642,1,1,0.553357118,0.0,0.0
197,0.262,1,0.0,0.362340426,1,0.633180301,1,1,0.552743642,1,1,0.633180301,0.0,0.0
198,0.262,1,0.0,0.395004718,1,0.596910183,1,1,0.552743642,1,1,0.596910183,0.0,0.0
199,0.262,1,0.0,0.425508145,1,0.590603867,1,1,0.552743642,1,1,0.590603867,0.0,0.0
200,0.262,1,0.000646188,0.424490789,1,0.481729793,1,1,0.552743642,1,1,0.481729793,0.0003784815428571428,0.0003438643285714285
201,0.262,1,0.046910512,0.435671418,1,0.465574724,1,1,0.552743642,1,1,0.465574724,0.027476157028571424,0.024963093885714282
202,0.262,1,0.220480172,0.351827899,1,0.418892004,1,1,0.552743642,1,1,0.418892004,0.12913838645714285,0.11732694867142855
203,0.262,1,0.206461004,0.242107683,1,0.304281973,1,1,0.552743642,1,1,0.304281973,0.12092715948571427,0.10986674855714283
204,0.262,1,0.326543645,0.275648428,1,0.281886946,1,1,0.552743642,1,1,0.281886946,0.19126127778571425,0.17376786823214282
205,0.262,1,0.322048091,0.294087334,1,0.290041585,1,1,0.552743642,1,1,0.290041585,0.18862816758571424,0.1713755912821428
206,0.262,1,0.441592038,0.374017506,1,0.309895875,1,1,0.552743642,1,1,0.309895875,0.2586467651142857,0.2349900487928571
207,0.262,1,0.222845391,0.419656157,1,0.417820714,1,1,0.552743642,1,1,0.417820714,0.1305237290142857,0.11858558306785712
208,0.262,1,0.24975972,0.344583435,1,0.596112108,1,1,0.552743642,1,1,0.596112108,0.14628783599999998,0.13290785099999997
209,0.262,1,0.0,0.405473673,1,0.676669895,1,1,0.552743642,1,1,0.676669895,0.0,0.0
210,0.262,1,0.0,0.299410594,1,0.784256717,1,1,0.552743642,1,1,0.784256717,0.0,0.0
211,0.262,1,0.0,0.447751718,1,0.7478535,1,1,0.552743642,1,1,0.7478535,0.0,0.0
212,0.262,1,0.0,0.492370397,1,0.804203361,1,1,0.552743642,1,1,0.804203361,0.0,0.0
213,0.262,1,0.0,0.507668175,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
214,0.262,1,0.0,0.537249236,1,0.806634341,1,1,0.552743642,1,1,0.806634341,0.0,0.0
215,0.262,1,0.0,0.561888631,1,0.809176664,1,1,0.552743642,1,1,0.809176664,0.0,0.0
216,0.262,1,0.0,0.463337918,1,0.807469411,1,1,0.552743642,1,1,0.807469411,0.0,0.0
217,0.262,1,0.0,0.435649674,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
218,0.262,1,0.0,0.407604691,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
219,0.262,1,0.0,0.396513997,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
220,0.262,1,0.0,0.420690192,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
221,0.262,1,0.0,0.475462711,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
222,0.262,1,0.0,0.488708493,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
223,0.262,1,0.0,0.627316631,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
224,0.262,1,0.058062028,0.638562516,1,0.81,1,1,0.552743642,1,1,0.81,0.034007759257142854,0.030897293471428566
225,0.262,1,0.335735263,0.563710597,1,0.81,1,1,0.552743642,1,1,0.81,0.19664493975714284,0.17865912209642854
226,0.262,1,0.586682504,0.662768445,1,0.81,1,1,0.552743642,1,1,0.81,0.34362832377142855,0.3121989039142856
227,0.262,1,0.822493951,0.714230466,1,0.81,1,1,0.552743642,1,1,0.81,0.48174645701428565,0.43768428106785706
228,0.262,1,0.8256,0.684870091,1,0.801874445,1,1,0.552743642,1,1,0.801874445,0.4835657142857142,0.43933714285714276
229,0.262,1,0.8256,0.519352888,1,0.781771095,1,1,0.552743642,1,1,0.781771095,0.4835657142857142,0.43933714285714276
230,0.262,1,0.8256,0.453482844,1,0.734141666,1,1,0.552743642,1,1,0.734141666,0.4835657142857142,0.43933714285714276
