Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
,,,,,,,209,34845.5,3393.83814,4547.54379,2070.50855,12198.7921,2818.66624,6968.89316
,,,,,,,210,36717.1,3667.32666,4938.29882,2234.06599,13442.425,3079.36392,7621.8093
,,,,,,,211,35865.9,3711.38976,4944.76522,2293.25745,13616.1388,3203.96938,7823.37886
,,,,,,,212,35141.4,3363.37083,4638.48706,2136.73147,12021.3173,2968.70254,7044.36676
,,,,,,,213,34096.8,3199.27674,4391.35749,2046.08028,11497.372,2845.87383,6802.3073
,,,,,,,214,33006.1,2635.12147,3765.41981,1746.23212,9095.44818,2526.78485,5434.73073
,,,,,,,215,31463.2,2363.75807,3444.40511,1568.76861,7979.6018,2323.23217,4798.82358
,,,,,,,216,28887.8,2141.98241,3238.53811,1461.32671,7175.29253,2132.86148,4342.04211
,,,,,,,217,27930.9,1963.03315,3038.82202,1351.45537,6388.83515,1983.26445,3935.74543
,,,,,,,218,27515.6,1838.44028,2851.78733,1268.82982,5890.7405,1865.29804,3612.54417
,,,,,,,219,27154.2,1766.94269,2807.88612,1208.13127,5604.6981,1817.16949,3435.39183
,,,,,,,220,27035.8,1738.09335,2794.17619,1170.62753,5515.40069,1779.92333,3436.46129
,,,,,,,221,27013.4,1754.37755,2849.68454,1174.98986,5486.89835,1828.25938,3472.76085
,,,,,,,222,28143.9,1900.15598,3052.75739,1267.7314,5985.28653,1986.00001,3781.92202
,,,,,,,223,30507.3,2262.5654,3457.33939,1486.51425,7395.10688,2277.40404,4708.95592
,,,,,,,224,32923.1,2836.28001,4135.56735,1832.39916,9783.18569,2710.01481,6169.35585
,,,,,,,225,32529.0,3024.4563,4314.96729,1936.65394,10386.4384,2864.08675,6444.2516
,,,,,,,226,31639.6,3028.11989,4275.23944,1911.14994,10269.9498,2883.66772,6273.57045
,,,,,,,227,30522.3,3002.87491,4274.84446,1923.49654,9978.92416,2881.47776,6012.38282
,,,,,,,228,30462.2,3059.42587,4395.74468,1967.5589,10359.4093,2947.70659,6126.68212
,,,,,,,229,29960.0,3080.78057,4492.89764,2012.1077,10633.6719,2991.02521,6214.56325
,,,,,,,230,29629.6,2931.90638,4258.9948,1887.42176,10418.4006,2806.18102,6005.72955
,,,,,,,231,29776.7,2869.07447,3999.50929,1822.13181,10500.8345,2598.5545,6002.30913
,,,,,,,232,30478.4,2986.28127,3951.87742,1869.98022,11256.4455,2578.52973,6417.33934
,,,,,,,233,33367.1,3225.60273,4257.03923,2018.29176,12301.7014,2768.01537,7045.29394
,,,,,,,234,35340.9,3521.69527,4712.08601,2167.96199,13562.5896,3010.0268,7719.80154
,,,,,,,235,35182.0,3479.41795,4682.28563,2179.13276,13364.3077,3090.16932,7772.80906
,,,,,,,236,34998.0,3154.76301,4435.95816,2013.86144,11670.2135,2922.90908,6916.35992
,,,,,,,237,34493.2,3027.79101,4287.37808,1961.10581,11194.703,2841.97683,6672.3947
,,,,,,,238,33670.7,2535.31806,3727.00192,1705.53151,8991.15207,2552.85911,5376.41463
,,,,,,,239,32699.9,2296.79978,3489.69605,1572.73062,7964.32129,2422.73546,4757.19388
,,,,,,,240,30291.2,2138.34954,3272.29342,1470.09958,7209.83364,2229.33498,4356.20417
,,,,,,,241,29810.2,1994.5012,3088.32738,1367.14954,6275.16374,2016.9222,3914.09926
,,,,,,,242,30113.7,1929.38111,3031.73518,1333.34287,5904.81092,1960.49652,3680.38315
,,,,,,,243,30392.1,1918.10502,3068.76058,1326.27937,5672.06133,1975.788,3578.39041
,,,,,,,244,30783.8,1958.75386,3152.93207,1332.94674,5644.76292,1994.52904,3631.35319
,,,,,,,245,31278.4,2013.05129,3238.38093,1361.14462,5642.23095,2064.6884,3698.18737
