1,2,3,4,5,6,7
-1.781779997531608e-33,-8.055548725227809e-20,-7.318249498826735e-20,-3.082710713337302e-20,-4.1603145018959134e-20,-2.3562745840771548e-33,NaN
-1.7835009799285314e-33,-8.055548725227809e-20,-7.326445118236816e-20,-3.0852819184934753e-20,-4.1635154752955255e-20,-2.358555808673143e-33,NaN
-1.784691475003282e-33,-8.055548725227809e-20,-7.332288358381848e-20,-3.0870352947847176e-20,-4.166280913686593e-20,-2.360122663777307e-33,NaN
-1.7856915789843672e-33,-8.055548725227809e-20,-7.336323455076799e-20,-3.088497183116542e-20,-4.1682958380083116e-20,-2.3613853326526576e-33,NaN
-1.7865451796962082e-33,-8.055548725227809e-20,-7.340062469053739e-20,-3.0898799640258923e-20,-4.170137110966507e-20,-2.3625139271213562e-33,NaN
-1.7871831886343476e-33,-8.055548725227809e-20,-7.343174551795374e-20,-3.090962943250196e-20,-4.171466833439527e-20,-2.363359351655557e-33,NaN
-1.7878177941741952e-33,-8.055548725227809e-20,-7.346228254315982e-20,-3.092003353610724e-20,-4.172774004987624e-20,-2.364197632715402e-33,NaN
-1.788256992348427e-33,-8.055548725227809e-20,-7.348352724704733e-20,-3.0927892005805856e-20,-4.1740443355678725e-20,-2.3647779087661837e-33,NaN
-1.78859838457017e-33,-8.055548725227809e-20,-7.349845784892476e-20,-3.0933405949888943e-20,-4.1749260276832607e-20,-2.365225405090384e-33,NaN
-1.7889036939388218e-33,-8.055548725227809e-20,-7.351194963088679e-20,-3.0938849951116666e-20,-4.175758545091007e-20,-2.365629109125589e-33,NaN
-1.789191283622023e-33,-8.055548725227809e-20,-7.352478181257219e-20,-3.0944268195466895e-20,-4.176288163663634e-20,-2.3660102691422793e-33,NaN
-1.7893835443371613e-33,-8.055548725227809e-20,-7.353363035907692e-20,-3.094713279342977e-20,-4.176576284275235e-20,-2.366264275102822e-33,NaN
-1.789488139668862e-33,-8.055548725227809e-20,-7.353861074653188e-20,-3.0948533200656765e-20,-4.176816430755497e-20,-2.3663989311022607e-33,NaN
