Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2
129,0.262,1,1,0.008968,0.005139353630232,0.0047254463697679995,0.1197,0.8877,0.8877,1,0.552743642,1,1
130,0.262,1,1,0.022219,0.012733195618881,0.011707704381118999,0.0323,0.1549,0.1549,1,0.552743642,1,1
131,0.262,1,1,0.056765,0.032530710171735006,0.029910789828265,0.2182,0.0559,0.0559,1,0.552743642,1,1
132,0.262,1,1,0.107124,0.061390289728476,0.05644611027152399,0.8343,0.5567,0.5567,1,0.552743642,1,1
133,0.262,1,1,0.112365,0.06439378575613501,0.059207714243865,0.6514,0.4567,0.4567,1,0.552743642,1,1
134,0.262,1,1,0.15476,0.08868938088924001,0.08154661911076,0.0932,0.2478,0.2478,1,0.552743642,1,1
135,0.262,1,1,0.116366,0.06668666642903401,0.06131593357096599,0.4102,0.6805,0.6805,1,0.552743642,1,1
136,0.262,1,1,0.065786,0.037700436877614,0.034664163122385995,0.0916,0.2451,0.2451,1,0.552743642,1,1
137,0.262,1,1,0.0026,0.0014899999374,0.0013700000625999997,0.087,0.037,0.037,1,0.552743642,1,1
138,0.262,1,1,0.0,0.0,0.0,0.0405,0.0277,0.0277,1,0.552743642,1,1
139,0.262,1,1,0.0,0.0,0.0,0.1208,0.049,0.049,1,0.552743642,1,1
140,0.262,1,1,0.0,0.0,0.0,0.3092,0.0578,0.0578,1,0.552743642,1,1
141,0.262,1,1,0.0,0.0,0.0,0.099,0.6994,0.6994,1,0.552743642,1,1
142,0.262,1,1,0.0,0.0,0.0,0.7693,0.8228,0.8228,1,0.552743642,1,1
143,0.262,1,1,0.0,0.0,0.0,0.6508,0.2655,0.2655,1,0.552743642,1,1
144,0.262,1,1,0.0,0.0,0.0,0.5254,0.5119,0.5119,1,0.552743642,1,1
145,0.262,1,1,0.0,0.0,0.0,0.2954,0.9089,0.9089,1,0.552743642,1,1
146,0.262,1,1,0.0,0.0,0.0,0.5564,0.5415,0.5415,1,0.552743642,1,1
147,0.262,1,1,0.0,0.0,0.0,0.3841,0.6599,0.6599,1,0.552743642,1,1
