Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
469,0,4.01,4.49,4.54,0.69
470,0,4.01,4.49,4.54,0.69
471,0,4.01,4.49,4.54,0.69
472,0,4.01,4.49,4.54,0.69
473,0,4.01,4.49,4.54,0.69
474,0,4.01,4.49,4.54,0.69
475,0,4.01,4.49,4.54,0.69
476,0,4.01,4.49,4.54,0.69
477,0,4.01,4.49,4.54,0.69
478,0,4.01,4.49,4.54,0.69
479,0,4.01,4.49,4.54,0.69
480,0,4.01,4.49,4.54,0.69
481,0,4.01,4.49,4.54,0.69
482,0,4.01,4.49,4.54,0.69
483,0,4.01,4.49,4.54,0.69
484,0,4.01,4.49,4.54,0.69
485,0,4.01,4.49,4.54,0.69
486,0,4.01,4.49,4.54,0.69
487,0,4.01,4.49,4.54,0.69
488,0,4.01,4.49,4.54,0.69
489,0,4.01,4.49,4.54,0.69
490,0,4.01,4.49,4.54,0.69
491,0,4.01,4.49,4.54,0.69
492,0,4.01,4.49,4.54,0.69
493,0,4.01,4.49,4.54,0.69
494,0,4.01,4.49,4.54,0.69
495,0,4.01,4.49,4.54,0.69
496,0,4.01,4.49,4.54,0.69
497,0,4.01,4.49,4.54,0.69
498,0,4.01,4.49,4.54,0.69
499,0,4.01,4.49,4.54,0.69
500,0,4.01,4.49,4.54,0.69
501,0,4.01,4.49,4.54,0.69
502,0,4.01,4.49,4.54,0.69
503,0,4.01,4.49,4.54,0.69
504,0,4.01,4.49,4.54,0.69
505,0,4.01,4.49,4.54,0.69
506,0,4.01,4.49,4.54,0.69
507,0,4.01,4.49,4.54,0.69
508,0,4.01,4.49,4.54,0.69
509,0,4.01,4.49,4.54,0.69
510,0,4.01,4.49,4.54,0.69
511,0,4.01,4.49,4.54,0.69
512,0,4.01,4.49,4.54,0.69
513,0,4.01,4.49,4.54,0.69
514,0,4.01,4.49,4.54,0.69
515,0,4.01,4.49,4.54,0.69
516,0,4.01,4.49,4.54,0.69
517,0,4.01,4.49,4.54,0.69
518,0,4.01,4.49,4.54,0.69
519,0,4.01,4.49,4.54,0.69
520,0,4.01,4.49,4.54,0.69
521,0,4.01,4.49,4.54,0.69
522,0,4.01,4.49,4.54,0.69
523,0,4.01,4.49,4.54,0.69
524,0,4.01,4.49,4.54,0.69
525,0,4.01,4.49,4.54,0.69
526,0,4.01,4.49,4.54,0.69
527,0,4.01,4.49,4.54,0.69
528,0,4.01,4.49,4.54,0.69
529,0,4.01,4.49,4.54,0.69
530,0,4.01,4.49,4.54,0.69
531,0,4.01,4.49,4.54,0.69
532,0,4.01,4.49,4.54,0.69
533,0,4.01,4.49,4.54,0.69
534,0,4.01,4.49,4.54,0.69
535,0,4.01,4.49,4.54,0.69
536,0,4.01,4.49,4.54,0.69
537,0,4.01,4.49,4.54,0.69
538,0,4.01,4.49,4.54,0.69
539,0,4.01,4.49,4.54,0.69
540,0,4.01,4.49,4.54,0.69
541,0,4.01,4.49,4.54,0.69
542,0,4.01,4.49,4.54,0.69
543,0,4.01,4.49,4.54,0.69
544,0,4.01,4.49,4.54,0.69
545,0,4.01,4.49,4.54,0.69
546,0,4.01,4.49,4.54,0.69
547,0,4.01,4.49,4.54,0.69
548,0,4.01,4.49,4.54,0.69
549,0,4.01,4.49,4.54,0.69
550,0,4.01,4.49,4.54,0.69
551,0,4.01,4.49,4.54,0.69
552,0,4.01,4.49,4.54,0.69
553,0,4.01,4.49,4.54,0.69
554,0,4.01,4.49,4.54,0.69
555,0,4.01,4.49,4.54,0.69
556,0,4.01,4.49,4.54,0.69
557,0,4.01,4.49,4.54,0.69
558,0,4.01,4.49,4.54,0.69
559,0,4.01,4.49,4.54,0.69
560,0,4.01,4.49,4.54,0.69
561,0,4.01,4.49,4.54,0.69
562,0,4.01,4.49,4.54,0.69
563,0,4.01,4.49,4.54,0.69
564,0,4.01,4.49,4.54,0.69
565,0,4.01,4.49,4.54,0.69
566,0,4.01,4.49,4.54,0.69
567,0,4.01,4.49,4.54,0.69
568,0,4.01,4.49,4.54,0.69
569,0,4.01,4.49,4.54,0.69
570,0,4.01,4.49,4.54,0.69
571,0,4.01,4.49,4.54,0.69
572,0,4.01,4.49,4.54,0.69
573,0,4.01,4.49,4.54,0.69
574,0,4.01,4.49,4.54,0.69
575,0,4.01,4.49,4.54,0.69
576,0,4.01,4.49,4.54,0.69
577,0,4.01,4.49,4.54,0.69
578,0,4.01,4.49,4.54,0.69
579,0,4.01,4.49,4.54,0.69
580,0,4.01,4.49,4.54,0.69
581,0,4.01,4.49,4.54,0.69
582,0,4.01,4.49,4.54,0.69
583,0,4.01,4.49,4.54,0.69
584,0,4.01,4.49,4.54,0.69
585,0,4.01,4.49,4.54,0.69
586,0,4.01,4.49,4.54,0.69
587,0,4.01,4.49,4.54,0.69
588,0,4.01,4.49,4.54,0.69
589,0,4.01,4.49,4.54,0.69
590,0,4.01,4.49,4.54,0.69
591,0,4.01,4.49,4.54,0.69
592,0,4.01,4.49,4.54,0.69
593,0,4.01,4.49,4.54,0.69
594,0,4.01,4.49,4.54,0.69
595,0,4.01,4.49,4.54,0.69
596,0,4.01,4.49,4.54,0.69
597,0,4.01,4.49,4.54,0.69
598,0,4.01,4.49,4.54,0.69
599,0,4.01,4.49,4.54,0.69
