Imports,Net Electric,Gross Electric,Recirc Power,Salt Heating,Fixed plant power,Var plant power,Reactor Thermal power,Turbine Thermal input,Tritium inventory,Tritium exports,Deuterium inventory,Deuterium imports,Commitment State,,Net+Recirc-Gross,Recirc-heating-fixed-var-magnet
1.99E-05,8216.811025,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.385831438,28469.13764,0.237567725,28049.46608,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.09E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.386999912,28489.43496,0.235154928,28137.77934,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.387681168,28559.41575,0.233132919,28221.97612,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.388218495,28580.08866,0.231413164,28287.09801,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.388803971,28573.17209,0.229973966,28347.54484,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.389309486,28584.65681,0.229009251,28449.77414,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.389714659,28599.06917,0.228712795,28593.75305,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.09E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.390014743,28614.16334,0.22926446,28776.48409,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.14E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.390178713,28633.71385,0.230812069,28991.0638,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.39021757,28651.68442,0.233461119,29228.37347,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.390102571,28673.78356,0.237290498,29482.67978,42.10523599,,,
1.98E-05,8216.811026,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.389828187,28696.67716,0.242314865,29740.14436,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.389387733,28720.53093,0.248464232,29982.52993,42.10523599,,,
1.98E-05,8216.811026,11447.05026,3230.239233,2.45E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.388726859,28752.19164,0.255547825,30183.81264,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.16E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.387773219,28794.24396,0.263247916,30316.63934,42.10523599,,,
1.98E-05,8216.811025,11447.05026,3230.239233,2.09E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.386402185,28854.19744,0.271157949,30361.87205,42.10523599,,,
1.99E-05,8216.811026,11447.05026,3230.239233,2.08E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.384485958,28932.50814,0.278736669,30290.48934,42.10523599,,,
1.99E-05,8216.811027,11447.05026,3230.239234,2.08E-07,421.05236,2388.134513,28657.62562,28617.62565,0.382131571,28995.4453,0.285306087,30073.03166,42.105236,,,
2.00E-05,8216.811025,11447.05026,3230.239233,2.09E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.380348421,28913.39729,0.289843519,29635.23258,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,2.09E-07,421.0523599,2388.134513,28657.62562,28617.62565,0.380958835,28569.59747,0.291036155,28914.58352,42.10523599,,,
1.99E-05,8216.811025,11447.05026,3230.239233,1.97E-07,421.0523599,2388.134513,28657.62562,28617.62564,0.387775834,27678.10863,0.287497459,27895.20019,42.10523599,,,
1.99E-05,6916.142873,9801.8027,2885.659827,22.27347972,398.7225612,2043.611426,24523.34692,24504.50675,0.380453354,25574.75986,0.296650841,26495.47759,39.87225612,,,
1.99E-05,6756.120653,9597.039009,2840.918356,22.28533877,396.6292554,2000.951402,24011.42643,23992.59752,0.377197991,24478.6623,0.302867062,25350.7347,39.66292554,,,
1.99E-05,5678.053015,8222.269691,2544.216676,22.45577481,386.1807929,1714.527749,20574.34122,20555.67423,0.356051041,23611.45352,0.320432325,24358.84344,38.61807929,,,
1.99E-05,6986.96905,9891.712224,2904.743174,22.23155748,399.1133685,2062.345888,24748.16055,24729.28056,0.357603643,24524.82275,0.316429266,23885.68655,39.91133685,,,
2.00E-05,7821.115461,10960.98835,3139.872893,21.54004442,412.1140849,2285.166404,27422.00782,27402.47088,0.373706298,25108.75934,0.296967163,23228.82411,41.21140849,,,
2.01E-05,8216.810774,11447.05004,3230.239262,8.69E-05,421.0523552,2388.13446,28657.62498,28617.62509,0.402489593,24522.9671,0.265996752,21984.93291,42.10523552,,,
2.01E-05,8216.810774,11447.05004,3230.239262,8.68E-05,421.0523552,2388.13446,28657.62498,28617.62509,0.44477529,22583.51158,0.225770588,19990.74605,42.10523552,,,
2.00E-05,6965.984878,9863.598925,2897.614048,22.12350248,397.9406779,2056.497507,24677.97996,24658.99731,0.480915527,19486.53594,0.191637871,17323.95719,39.79406779,,,
1.99E-05,6103.815055,8765.189621,2661.374566,22.23929334,390.4297523,1827.653161,21931.8467,21912.97405,0.519233061,16427.63145,0.157460738,14568.25412,39.04297523,,,
1.99E-05,4796.385221,7102.25517,2305.86995,22.34321576,381.2739794,1481.200395,17774.41185,17755.63793,0.549597263,13412.54479,0.130268608,11915.76484,38.12739794,,,
1.99E-05,3289.743793,5192.495263,1902.75147,22.44134044,375.9316311,1083.326138,12999.91886,12981.23816,0.565909722,10656.35795,0.114529222,9608.808536,37.59316311,,,
1.99E-05,1539.871313,2976.275615,1436.404303,22.57748666,371.171338,621.6031181,7459.240401,7440.689039,0.559142017,8430.803329,0.116216505,7822.771981,37.1171338,,,
1.99E-05,1594.779984,3048.392157,1453.612173,22.57740968,373.3550059,636.6273977,7639.531829,7620.980394,0.563326171,7038.021443,0.111572334,6638.927625,37.33550059,,,
2.57E-05,6.26E-05,1033.651583,1033.65152,22.91440346,372.8214893,216.8632672,2602.360247,2584.128956,0.540282709,5911.707954,0.126164053,5746.201275,37.28214893,,,
2.57E-05,5.85E-05,1035.019892,1035.019834,22.96129854,373.8615561,217.144619,2605.736471,2587.54973,0.521740373,5268.582263,0.138125681,5182.914336,37.38615561,,,
2.58E-05,5.80E-05,1035.401442,1035.401384,23.01015182,374.1186312,217.220241,2606.643935,2588.503605,0.506201715,4838.07101,0.148273549,4793.040533,37.41186312,,,
2.58E-05,5.78E-05,1035.376859,1035.376801,23.03445709,374.0767889,217.2131954,2606.559388,2588.442148,0.492846225,4524.419586,0.157089869,4506.068795,37.40767889,,,
2.58E-05,5.78E-05,1034.52517,1034.525112,23.06972189,373.3700616,217.0329684,2604.396663,2586.312924,0.481149986,4283.941205,0.164892068,4285.409907,37.33700616,,,
2.58E-05,0.000108436,1035.164138,1035.164029,22.9992511,373.9407525,217.1716656,2606.06103,2587.910344,0.470788569,4093.888164,0.171878091,4111.226103,37.39407525,,,
2.53E-05,0.000110097,1029.125709,1029.125599,22.97979453,369.1782442,215.9152005,2590.983443,2572.814273,0.46139326,3940.052395,0.178282565,3970.851435,36.91782442,,,
2.50E-05,0.00011794,1024.19372,1024.193602,22.96767603,365.2849035,214.8886625,2578.664982,2560.4843,0.452794541,3813.323685,0.184211424,3856.060151,36.52849035,,,
2.48E-05,0.000106207,1022.521067,1022.520961,23.13638387,363.8053799,214.5268373,2574.323078,2556.302668,0.444918554,3705.179445,0.189701359,3757.150293,36.38053799,,,
2.63E-05,2.93E-05,1034.290163,1034.290134,23.18523985,373.0776704,216.9748635,2603.699404,2585.725408,0.437881619,3614.045091,0.194654182,3670.803832,37.30776704,,,
2.64E-05,2.77E-05,1036.01557,1036.015542,23.18778807,374.4412726,217.3341214,2608.0105,2590.038924,0.431417093,3536.144224,0.199245165,3597.155238,37.44412726,,,
2.63E-05,2.79E-05,1035.913192,1035.913164,23.20765571,374.3419283,217.3112198,2607.73568,2589.782979,0.425416173,3469.284913,0.203546028,3534.37277,37.43419283,,,
2.64E-05,2.79E-05,1036.157662,1036.157634,23.26661315,374.4811774,217.3574836,2608.290847,2590.394155,0.419821895,3411.437255,0.207593462,3480.325718,37.44811774,,,
2.65E-05,2.78E-05,1036.288079,1036.288052,23.26536101,374.5855776,217.384753,2608.61808,2590.720198,0.414577621,3361.496576,0.211423806,3433.880302,37.45855776,,,
2.64E-05,2.78E-05,1036.806276,1036.806248,23.27887506,374.9833726,217.4916408,2609.900733,2592.01569,0.409645516,3317.945448,0.21506248,3393.866737,37.49833726,,,
2.62E-05,2.79E-05,1029.905296,1029.905268,23.2563268,369.5408591,216.0557222,2592.669704,2574.76324,0.404858874,3279.825183,0.218622886,3359.772526,36.95408591,,,
2.67E-05,2.89E-05,1024.642705,1024.642676,23.09798255,365.5204485,214.9718851,2579.663653,2561.606762,0.400210044,3247.028757,0.222109695,3330.909903,36.55204485,,,
2.66E-05,2.85E-05,1023.520567,1023.520539,23.04892331,364.6772651,214.7419903,2576.904915,2558.801418,0.395752716,3216.767924,0.225487994,3304.772165,36.46772651,,,
2.64E-05,2.84E-05,1036.146327,1036.146298,23.13161646,374.5965127,217.3658094,2608.390756,2590.365817,0.391703752,3189.601973,0.228610059,3281.051512,37.45965127,,,
2.65E-05,2.85E-05,1037.915368,1037.915339,23.14537993,375.9843297,217.7332698,2612.800283,2594.78842,0.387853089,3165.532291,0.231619972,3261.297373,37.59843297,,,
2.68E-05,2.85E-05,1037.443727,1037.443699,23.14509074,375.6112137,217.6350343,2611.621456,2593.609318,0.384144502,3143.94969,0.234557723,3244.571032,37.56112137,,,
2.70E-05,2.86E-05,1038.205547,1038.205519,23.16913696,376.1921789,217.7918431,2613.503163,2595.513869,0.380583254,3124.671586,0.237420858,3230.376353,37.61921789,,,
2.73E-05,2.85E-05,1038.293942,1038.293914,23.18046252,376.251729,217.809362,2613.71339,2595.734855,0.377144758,3107.253679,0.240226015,3218.095019,37.6251729,,,
2.75E-05,2.84E-05,1038.26266,1038.262631,23.20272452,376.2064645,217.8010825,2613.614035,2595.65665,0.373816759,3091.285991,0.242980351,3207.046216,37.62064645,,,
2.77E-05,2.83E-05,1038.259068,1038.25904,23.21556001,376.1918021,217.7993182,2613.592863,2595.647671,0.370590716,3076.62347,0.245686668,3196.67916,37.61918021,,,
