Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
t22,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,692.1519004818551,0.0,7739.110042420347,0.0,53501.0
t23,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,696.1355085421824,0.0,7270.12643436002,0.0,53036.0
t24,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,694.3428849150351,0.0,5732.919057987156,0.0,51496.99999999999
t25,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,653.1125414906484,0.0,3775.1494014115524,0.0,49498.0
t26,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,777.0027521668251,0.0,2054.259190735378,0.0,47901.0
t27,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,936.7454353859467,0.0,1327.5165075162513,0.0,47334.0
t28,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,847.1142540285842,0.0,1514.1476888736026,0.0,47430.999999999985
t29,0.0,0.0,45069.738057097784,0.0,0.0,0.0,0.0,959.6511817328283,0.0,1982.6107611693878,0.0,48012.0
t30,0.0,0.0,45069.738057097784,0.0,0.0,0.0,0.0,796.323251259412,0.0,3635.9386916428048,0.0,49502.0
t31,0.0,0.0,45069.738057097784,0.0,0.0,0.0,0.0,812.85522470977,0.0,6563.406718192447,0.0,52446.0
t32,0.0,0.0,45069.738057097784,0.0,0.0,0.0,0.0,785.9658703025613,0.0,10547.296072599653,0.0,56403.0
t33,0.0,0.0,45069.738057097784,0.0,0.0,0.0,0.0,719.4396156950967,0.0,12788.822327207119,0.0,58578.0
