Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
52777,0.262,1,0.0,0.0,0.0,0.490931394,1,0.66139084,0.66139084,1,1,0.552743642,1,1
52778,0.262,1,0.0,0.0,0.0,0.403790949,1,0.744366626,0.744366626,1,1,0.552743642,1,1
52779,0.262,1,0.0,0.0,0.0,0.475365568,1,0.774276434,0.774276434,1,1,0.552743642,1,1
52780,0.262,1,0.0,0.0,0.0,0.473659351,1,0.77295022,0.77295022,1,1,0.552743642,1,1
52781,0.262,1,0.0,0.0,0.0,0.455465265,1,0.724636988,0.724636988,1,1,0.552743642,1,1
52782,0.262,1,0.0,0.0,0.0,0.431404299,1,0.710380744,0.710380744,1,1,0.552743642,1,1
52783,0.262,1,0.0,0.0,0.0,0.489414006,1,0.668641543,0.668641543,1,1,0.552743642,1,1
52784,0.262,1,0.053426298,0.030617378,0.028151549,0.447808826,1,0.746684419,0.746684419,1,1,0.552743642,1,1
52785,0.262,1,0.281097487,0.161090483,0.148116753,0.44452577,1,0.789365692,0.789365692,1,1,0.552743642,1,1
52786,0.262,1,0.503390789,0.288481644,0.265248223,0.413759667,1,0.79321219,0.79321219,1,1,0.552743642,1,1
52787,0.262,1,0.613633205,0.351659029,0.323337496,0.410180282,1,0.784204786,0.784204786,1,1,0.552743642,1,1
52788,0.262,1,0.59879807,0.343157356,0.315520522,0.434549462,1,0.777120721,0.777120721,1,1,0.552743642,1,1
52789,0.262,1,0.703292078,0.40304046,0.370580826,0.467464536,1,0.770500193,0.770500193,1,1,0.552743642,1,1
52790,0.262,1,0.718901242,0.411985712,0.378805654,0.634817582,1,0.763686861,0.763686861,1,1,0.552743642,1,1
52791,0.262,1,0.389932633,0.223461394,0.205464503,0.701663263,1,0.783345685,0.783345685,1,1,0.552743642,1,1
52792,0.262,1,0.239492559,0.137247659,0.126194156,0.696581357,1,0.80691507,0.80691507,1,1,0.552743642,1,1
52793,0.262,1,0.0,0.0,0.0,0.725560834,1,0.81,0.81,1,1,0.552743642,1,1
52794,0.262,1,0.0,0.0,0.0,0.668113853,1,0.81,0.81,1,1,0.552743642,1,1
52795,0.262,1,0.0,0.0,0.0,0.667023129,1,0.81,0.81,1,1,0.552743642,1,1
52796,0.262,1,0.0,0.0,0.0,0.644679752,1,0.81,0.81,1,1,0.552743642,1,1
52797,0.262,1,0.0,0.0,0.0,0.684970266,1,0.81,0.81,1,1,0.552743642,1,1
52798,0.262,1,0.0,0.0,0.0,0.655691007,1,0.81,0.81,1,1,0.552743642,1,1
52799,0.262,1,0.0,0.0,0.0,0.625904903,1,0.81,0.81,1,1,0.552743642,1,1
52800,0.262,1,0.0,0.0,0.0,0.519113572,1,0.81,0.81,1,1,0.552743642,1,1
52801,0.262,1,0.0,0.0,0.0,0.510480992,1,0.81,0.81,1,1,0.552743642,1,1
52802,0.262,1,0.0,0.0,0.0,0.505138415,1,0.81,0.81,1,1,0.552743642,1,1
52803,0.262,1,0.0,0.0,0.0,0.51329811,1,0.81,0.81,1,1,0.552743642,1,1
